Россия,Москва,147,17098246,Российский рубль,Русские
Беларусь,Минск,10,207595,Белорусский рубль,Беларусы
Казахстан,Астана,20,2724900,Казахстанский тенге,Казахи
Украина,Киев,41,576604,Украинская гривна,Украинцы
Молдавия,Кишинёв,3,33846,Молдавский лей,Молдоване
Армения,Ереван,3,29743,Армянский драм,Армяне
Германия,Берлин,85,357592,Евро,Немцы
Франция,Париж,69,643801,Евро,Французы
Польша,Варшава,38,312696,Польский злотый,Поляки
Великобритания,Лондон,67,242495,Фунт стерлингов,Британцы
